channel_Title,video_id,Title,Thumbnail_url,Published_date,Views,Likes,Comment_count,video_url
Hitesh Choudhary,NM2-naJ2zDU,Rolling the dice in React Native,https://i.ytimg.com/vi/NM2-naJ2zDU/mqdefault.jpg,2023-03-19,1738,52,9,https://www.youtube.com/embed/NM2-naJ2zDU
Hitesh Choudhary,pYCLIsOo228,DevUI Launch | Our open Source component library,https://i.ytimg.com/vi/pYCLIsOo228/mqdefault.jpg,2023-03-19,8251,798,145,https://www.youtube.com/embed/pYCLIsOo228
Hitesh Choudhary,zI69kpGoFRI,How to handle Images in React Native,https://i.ytimg.com/vi/zI69kpGoFRI/mqdefault.jpg,2023-03-18,1391,50,17,https://www.youtube.com/embed/zI69kpGoFRI
Hitesh Choudhary,j0mJLvHvTjc,CP is killing Cpp,https://i.ytimg.com/vi/j0mJLvHvTjc/mqdefault.jpg,2023-03-18,24933,1453,153,https://www.youtube.com/embed/j0mJLvHvTjc
Hitesh Choudhary,M5PWvT3Rt94,My issue with new React docs,https://i.ytimg.com/vi/M5PWvT3Rt94/mqdefault.jpg,2023-03-17,14778,721,89,https://www.youtube.com/embed/M5PWvT3Rt94
Hitesh Choudhary,vMy3lP1GBFc,Can you learn to code on Mobile ?,https://i.ytimg.com/vi/vMy3lP1GBFc/mqdefault.jpg,2023-03-16,2376,163,18,https://www.youtube.com/embed/vMy3lP1GBFc
Hitesh Choudhary,9ZkiY373CHk,React Native Project 5 | Haptic feedback and Images,https://i.ytimg.com/vi/9ZkiY373CHk/mqdefault.jpg,2023-03-15,1790,74,7,https://www.youtube.com/embed/9ZkiY373CHk
Hitesh Choudhary,9X6klH4qL_Y,An Attempt to restart Live,https://i.ytimg.com/vi/9X6klH4qL_Y/mqdefault.jpg,2023-03-09,5511,417,14,https://www.youtube.com/embed/9X6klH4qL_Y
Hitesh Choudhary,pgYe_Fa4FEE,Rajasthan IT day hackathon is here,https://i.ytimg.com/vi/pgYe_Fa4FEE/mqdefault.jpg,2023-03-09,5490,329,10,https://www.youtube.com/embed/pgYe_Fa4FEE
Hitesh Choudhary,mJomfTfOJUQ,Let's build a react native app with debugging in 1 shot | Project 4,https://i.ytimg.com/vi/mJomfTfOJUQ/mqdefault.jpg,2023-03-08,11647,139,8,https://www.youtube.com/embed/mJomfTfOJUQ
Hitesh Choudhary,BayDYRigP5I,Debugging React Native Apps,https://i.ytimg.com/vi/BayDYRigP5I/mqdefault.jpg,2023-03-07,13536,120,14,https://www.youtube.com/embed/BayDYRigP5I
Hitesh Choudhary,molTIg-zvGI,Formik React Native Crash Course,https://i.ytimg.com/vi/molTIg-zvGI/mqdefault.jpg,2023-03-06,9531,156,16,https://www.youtube.com/embed/molTIg-zvGI
Hitesh Choudhary,Ffia32q_umY,How to reset state in React Native,https://i.ytimg.com/vi/Ffia32q_umY/mqdefault.jpg,2023-03-05,9360,84,9,https://www.youtube.com/embed/Ffia32q_umY
Hitesh Choudhary,dGkA5u7f1YM,Logic to generate password React Native,https://i.ytimg.com/vi/dGkA5u7f1YM/mqdefault.jpg,2023-02-28,10876,131,24,https://www.youtube.com/embed/dGkA5u7f1YM
Hitesh Choudhary,QePLi5ltPI8,Got a gift 🎁 #youtube,https://i.ytimg.com/vi/QePLi5ltPI8/mqdefault.jpg,2023-02-28,7192,345,5,https://www.youtube.com/embed/QePLi5ltPI8
Hitesh Choudhary,ORSHG3dfUrk,UseState in React Native,https://i.ytimg.com/vi/ORSHG3dfUrk/mqdefault.jpg,2023-02-25,10822,189,14,https://www.youtube.com/embed/ORSHG3dfUrk
Hitesh Choudhary,86EO42D6s7E,Yup schema validation in react native,https://i.ytimg.com/vi/86EO42D6s7E/mqdefault.jpg,2023-02-22,9268,150,16,https://www.youtube.com/embed/86EO42D6s7E
Hitesh Choudhary,inriP3Vj2wo,Project 3 | Password Generator in react Native,https://i.ytimg.com/vi/inriP3Vj2wo/mqdefault.jpg,2023-02-21,8216,223,19,https://www.youtube.com/embed/inriP3Vj2wo
Hitesh Choudhary,rtvC2mzr6ms,ChatGPT is a serious evolution of tech,https://i.ytimg.com/vi/rtvC2mzr6ms/mqdefault.jpg,2023-02-20,34716,1610,109,https://www.youtube.com/embed/rtvC2mzr6ms
Hitesh Choudhary,VxLl6XmS__E,WhatsApp chat style design in React Native,https://i.ytimg.com/vi/VxLl6XmS__E/mqdefault.jpg,2023-02-17,9646,213,10,https://www.youtube.com/embed/VxLl6XmS__E
Hitesh Choudhary,6B0oJK9gPkI,Coding is not for everyone!,https://i.ytimg.com/vi/6B0oJK9gPkI/mqdefault.jpg,2023-02-17,17254,1368,14,https://www.youtube.com/embed/6B0oJK9gPkI
Hitesh Choudhary,UJLphDsGzCQ,Iteration UI in react native,https://i.ytimg.com/vi/UJLphDsGzCQ/mqdefault.jpg,2023-02-16,7561,168,13,https://www.youtube.com/embed/UJLphDsGzCQ
Hitesh Choudhary,QpTPQmBsOyI,Making beautiful buttons in react native,https://i.ytimg.com/vi/QpTPQmBsOyI/mqdefault.jpg,2023-02-16,6978,130,8,https://www.youtube.com/embed/QpTPQmBsOyI
Hitesh Choudhary,eL5qYJ7y68k,DeepLinking and Touchable Opacity in React Native,https://i.ytimg.com/vi/eL5qYJ7y68k/mqdefault.jpg,2023-02-15,7511,155,13,https://www.youtube.com/embed/eL5qYJ7y68k
Hitesh Choudhary,RpBOw56rp1I,Styling Cards in React Native,https://i.ytimg.com/vi/RpBOw56rp1I/mqdefault.jpg,2023-02-14,8173,146,13,https://www.youtube.com/embed/RpBOw56rp1I
Hitesh Choudhary,txSxteRjpYw,Images in React Native,https://i.ytimg.com/vi/txSxteRjpYw/mqdefault.jpg,2023-02-14,10148,212,12,https://www.youtube.com/embed/txSxteRjpYw
Hitesh Choudhary,cdP210MwnLw,All about horizontal scroll in React Native,https://i.ytimg.com/vi/cdP210MwnLw/mqdefault.jpg,2023-02-13,9775,232,15,https://www.youtube.com/embed/cdP210MwnLw
Hitesh Choudhary,MJ7P1JUyuFA,All about Flexbox in React Native,https://i.ytimg.com/vi/MJ7P1JUyuFA/mqdefault.jpg,2023-02-12,8460,259,44,https://www.youtube.com/embed/MJ7P1JUyuFA
Hitesh Choudhary,hg_cpUnBkBc,Multi file components in React Native,https://i.ytimg.com/vi/hg_cpUnBkBc/mqdefault.jpg,2023-02-12,7012,169,21,https://www.youtube.com/embed/hg_cpUnBkBc
Hitesh Choudhary,pbvC119ZRDw,React Native Project 2,https://i.ytimg.com/vi/pbvC119ZRDw/mqdefault.jpg,2023-02-11,7818,252,24,https://www.youtube.com/embed/pbvC119ZRDw
Hitesh Choudhary,XfREwe2sUGs,Summary of Project 1 and open source contribution | React Native,https://i.ytimg.com/vi/XfREwe2sUGs/mqdefault.jpg,2023-02-11,8146,215,14,https://www.youtube.com/embed/XfREwe2sUGs
Hitesh Choudhary,6BlFPa_MGNg,Hook for Dark and light mode in React Native,https://i.ytimg.com/vi/6BlFPa_MGNg/mqdefault.jpg,2023-02-10,19260,287,29,https://www.youtube.com/embed/6BlFPa_MGNg
Hitesh Choudhary,9yhlhKX7ZYM,Introducing Stylesheet in React Native,https://i.ytimg.com/vi/9yhlhKX7ZYM/mqdefault.jpg,2023-02-01,19343,346,52,https://www.youtube.com/embed/9yhlhKX7ZYM
Hitesh Choudhary,CZrJpEn6b4I,Rewrite React Native App,https://i.ytimg.com/vi/CZrJpEn6b4I/mqdefault.jpg,2023-01-31,14566,392,49,https://www.youtube.com/embed/CZrJpEn6b4I
Hitesh Choudhary,PjmAVh4Syvk,React Native file structure,https://i.ytimg.com/vi/PjmAVh4Syvk/mqdefault.jpg,2023-01-31,16187,430,71,https://www.youtube.com/embed/PjmAVh4Syvk
Hitesh Choudhary,TXWYrnl6dZI,How to start your first React Native app and debugging,https://i.ytimg.com/vi/TXWYrnl6dZI/mqdefault.jpg,2023-01-28,21776,691,130,https://www.youtube.com/embed/TXWYrnl6dZI
Hitesh Choudhary,XV5LwKuk3zc,Prerequisite and installation of React Native,https://i.ytimg.com/vi/XV5LwKuk3zc/mqdefault.jpg,2023-01-27,30217,994,90,https://www.youtube.com/embed/XV5LwKuk3zc
Hitesh Choudhary,kGtEax1WQFg,Welcome to course on React Native | build 10 apps,https://i.ytimg.com/vi/kGtEax1WQFg/mqdefault.jpg,2023-01-26,27395,2165,183,https://www.youtube.com/embed/kGtEax1WQFg
Hitesh Choudhary,G3xVExRWzVM,Tech Layoffs are tough and will not stop soon,https://i.ytimg.com/vi/G3xVExRWzVM/mqdefault.jpg,2023-01-21,108985,4354,259,https://www.youtube.com/embed/G3xVExRWzVM
Hitesh Choudhary,0JCN7LwmA9k,Full stack App with NextJs and Appwrite,https://i.ytimg.com/vi/0JCN7LwmA9k/mqdefault.jpg,2023-01-20,22955,548,152,https://www.youtube.com/embed/0JCN7LwmA9k
Hitesh Choudhary,sOb6-Pi8H6c,Are you going to let your APIs get hacked ?,https://i.ytimg.com/vi/sOb6-Pi8H6c/mqdefault.jpg,2023-01-18,21590,426,22,https://www.youtube.com/embed/sOb6-Pi8H6c
Hitesh Choudhary,E7WIis2NjZU,Higher Order Function | javascript interview series,https://i.ytimg.com/vi/E7WIis2NjZU/mqdefault.jpg,2023-01-18,7610,364,35,https://www.youtube.com/embed/E7WIis2NjZU
Hitesh Choudhary,auybx8hJW9c,Apple dropped 2 new devices,https://i.ytimg.com/vi/auybx8hJW9c/mqdefault.jpg,2023-01-17,10532,493,39,https://www.youtube.com/embed/auybx8hJW9c
Hitesh Choudhary,nm6-UKUzi-U,"Dear @YouTube , please bring this feature for creators #youtube",https://i.ytimg.com/vi/nm6-UKUzi-U/mqdefault.jpg,2023-01-17,9735,802,23,https://www.youtube.com/embed/nm6-UKUzi-U
Hitesh Choudhary,5AwlE8um9dc,Tailwind css is just crap,https://i.ytimg.com/vi/5AwlE8um9dc/mqdefault.jpg,2023-01-17,21315,834,120,https://www.youtube.com/embed/5AwlE8um9dc
